Date,Open,High,Low,Close,Volume
1959-08-03,60.71,60.71,60.71,60.71,1338889
1959-08-04,60.61,60.61,60.61,60.61,1405556
1959-08-05,60.3,60.3,60.3,60.3,1461111
1959-08-06,60.24,60.24,60.24,60.24,1450000
1959-08-07,59.87,59.87,59.87,59.87,1433333
1959-08-10,58.62,58.62,58.62,58.62,2327778
1959-08-11,59.39,59.39,59.39,59.39,1655556
1959-08-12,59.25,59.25,59.25,59.25,1500000
1959-08-13,59.15,59.15,59.15,59.15,1122222
1959-08-14,59.29,59.29,59.29,59.29,1105556
1959-08-17,59.17,59.17,59.17,59.17,1100000
1959-08-18,58.62,58.62,58.62,58.62,1266667
1959-08-19,58.27,58.27,58.27,58.27,1694444
1959-08-20,59.14,59.14,59.14,59.14,1361111
1959-08-21,59.08,59.08,59.08,59.08,1111111
1959-08-24,58.87,58.87,58.87,58.87,1033333
1959-08-25,58.99,58.99,58.99,58.99,1088889
1959-08-26,59.07,59.07,59.07,59.07,1227778
1959-08-27,59.58,59.58,59.58,59.58,1416667
1959-08-28,59.6,59.6,59.6,59.6,1072222
1959-08-31,59.6,59.6,59.6,59.6,1188889
1959-09-01,58.87,58.87,58.87,58.87,1350000
1959-09-02,58.92,58.92,58.92,58.92,1316667
1959-09-03,58.26,58.26,58.26,58.26,1294444
1959-09-04,58.54,58.54,58.54,58.54,1277778
1959-09-08,57.7,57.7,57.7,57.7,1633333
1959-09-09,57.29,57.29,57.29,57.29,1683333
1959-09-10,56.99,56.99,56.99,56.99,1400000
1959-09-11,57.41,57.41,57.41,57.41,1466667
1959-09-14,56.99,56.99,56.99,56.99,1438889
1959-09-15,56.68,56.68,56.68,56.68,1572222
1959-09-16,56.72,56.72,56.72,56.72,1211111
1959-09-17,56.41,56.41,56.41,56.41,1161111
1959-09-18,56.19,56.19,56.19,56.19,1405556
1959-09-21,55.27,55.27,55.27,55.27,1800000
1959-09-22,55.14,55.14,55.14,55.14,1666667
1959-09-23,55.82,55.82,55.82,55.82,1672222
1959-09-24,56.78,56.78,56.78,56.78,1933333
1959-09-25,56.73,56.73,56.73,56.73,1822222
1959-09-28,57.15,57.15,57.15,57.15,1466667
1959-09-29,57.51,57.51,57.51,57.51,1788889
1959-09-30,56.88,56.88,56.88,56.88,1583333
1959-10-01,56.94,56.94,56.94,56.94,1477778
1959-10-02,57.2,57.2,57.2,57.2,1261111
1959-10-05,57.14,57.14,57.14,57.14,1166667
1959-10-06,57.09,57.09,57.09,57.09,1294444
1959-10-07,56.94,56.94,56.94,56.94,1322222
1959-10-08,56.81,56.81,56.81,56.81,1394444
1959-10-09,57,57,57,57,1411111
1959-10-12,57.32,57.32,57.32,57.32,972222
1959-10-13,57.16,57.16,57.16,57.16,1405556
1959-10-14,56.71,56.71,56.71,56.71,1288889
1959-10-15,56.87,56.87,56.87,56.87,1216667
1959-10-16,57.33,57.33,57.33,57.33,1533333
1959-10-19,57.01,57.01,57.01,57.01,1372222
1959-10-20,56.66,56.66,56.66,56.66,1522222
1959-10-21,56.55,56.55,56.55,56.55,1516667
1959-10-22,56,56,56,56,1700000
1959-10-23,56.56,56.56,56.56,56.56,1600000
1959-10-26,56.94,56.94,56.94,56.94,1988889
1959-10-27,57.42,57.42,57.42,57.42,2311111
1959-10-28,57.46,57.46,57.46,57.46,2177778
1959-10-29,57.41,57.41,57.41,57.41,2161111
1959-10-30,57.52,57.52,57.52,57.52,1977778
1959-11-02,57.41,57.41,57.41,57.41,1844444
1959-11-04,57.26,57.26,57.26,57.26,2188889
1959-11-05,57.32,57.32,57.32,57.32,1761111
1959-11-06,57.6,57.6,57.6,57.6,1916667
1959-11-09,57.5,57.5,57.5,57.5,2055556
1959-11-10,57.48,57.48,57.48,57.48,1677778
1959-11-11,57.49,57.49,57.49,57.49,1566667
1959-11-12,57.17,57.17,57.17,57.17,2000000
1959-11-13,56.85,56.85,56.85,56.85,1694444
1959-11-16,56.22,56.22,56.22,56.22,2061111
1959-11-17,56.38,56.38,56.38,56.38,1983333
1959-11-18,56.99,56.99,56.99,56.99,2033333
1959-11-19,56.94,56.94,56.94,56.94,1794444
1959-11-20,56.97,56.97,56.97,56.97,1644444
1959-11-23,57.08,57.08,57.08,57.08,1888889
1959-11-24,57.35,57.35,57.35,57.35,2027778
1959-11-25,57.44,57.44,57.44,57.44,1972222
1959-11-27,57.7,57.7,57.7,57.7,1683333
1959-11-30,58.28,58.28,58.28,58.28,2038889
1959-12-01,58.7,58.7,58.7,58.7,2216667
1959-12-02,58.6,58.6,58.6,58.6,1938889
1959-12-03,58.73,58.73,58.73,58.73,1822222
1959-12-04,58.85,58.85,58.85,58.85,1994444
1959-12-07,58.96,58.96,58.96,58.96,2011111
1959-12-08,59.34,59.34,59.34,59.34,2150000
1959-12-09,58.97,58.97,58.97,58.97,1905556
1959-12-10,59.02,59.02,59.02,59.02,1761111
1959-12-11,58.88,58.88,58.88,58.88,1616667
1959-12-14,59.04,59.04,59.04,59.04,1722222
1959-12-15,58.9,58.9,58.9,58.9,1916667
1959-12-16,58.97,58.97,58.97,58.97,1816667
1959-12-17,58.86,58.86,58.86,58.86,1688889
1959-12-18,59.14,59.14,59.14,59.14,1794444
1959-12-21,59.21,59.21,59.21,59.21,1827778
1959-12-22,59.14,59.14,59.14,59.14,1627778
1959-12-23,58.96,58.96,58.96,58.96,1605556
1959-12-24,59,59,59,59,1288889
1959-12-28,58.98,58.98,58.98,58.98,1572222
1959-12-29,59.3,59.3,59.3,59.3,1677778
1959-12-30,59.77,59.77,59.77,59.77,2044444
1959-12-31,59.89,59.89,59.89,59.89,2116667
1960-01-04,59.91,59.91,59.91,59.91,2216667
1960-01-05,60.39,60.39,60.39,60.39,2061111
1960-01-06,60.13,60.13,60.13,60.13,2072222
1960-01-07,59.69,59.69,59.69,59.69,1838889
1960-01-08,59.5,59.5,59.5,59.5,1827778
1960-01-11,58.77,58.77,58.77,58.77,1927778
1960-01-12,58.41,58.41,58.41,58.41,2088889
1960-01-13,58.08,58.08,58.08,58.08,1927778
1960-01-14,58.4,58.4,58.4,58.4,1977778
1960-01-15,58.38,58.38,58.38,58.38,1888889
1960-01-18,57.89,57.89,57.89,57.89,1677778
1960-01-19,57.27,57.27,57.27,57.27,1722222
1960-01-20,57.07,57.07,57.07,57.07,1511111
1960-01-21,57.21,57.21,57.21,57.21,1500000
1960-01-22,57.38,57.38,57.38,57.38,1494444
1960-01-25,56.78,56.78,56.78,56.78,1550000
1960-01-26,56.86,56.86,56.86,56.86,1700000
1960-01-27,56.72,56.72,56.72,56.72,1366667
1960-01-28,56.13,56.13,56.13,56.13,1461111
1960-01-29,55.61,55.61,55.61,55.61,1700000
1960-02-01,55.96,55.96,55.96,55.96,1566667
1960-02-02,56.82,56.82,56.82,56.82,1711111
1960-02-03,56.32,56.32,56.32,56.32,1677778
1960-02-04,56.27,56.27,56.27,56.27,1444444
1960-02-05,55.98,55.98,55.98,55.98,1405556
